Lig_ID,Lig_name,score
1,1a30_128,11.39484
2,1a30_130,-43.44127
3,1a30_139,-34.24547
4,1a30_140,-35.38000
5,1a30_144,-36.97994
6,1a30_167,-20.49139
7,1a30_170,-38.30158
8,1a30_186,-33.29261
9,1a30_187,-28.44190
10,1a30_22,-24.07552
11,1a30_221,-19.93465
12,1a30_222,-20.82636
13,1a30_267,-0.71985
14,1a30_270,-29.23893
15,1a30_284,5.15262
16,1a30_296,17.24514
17,1a30_314,-34.45179
18,1a30_319,-26.42346
19,1a30_336,-12.23106
20,1a30_348,-17.38865
21,1a30_35,-42.98842
22,1a30_353,-7.44529
23,1a30_388,-40.78956
24,1a30_407,-11.41881
25,1a30_418,-0.64084
26,1a30_450,-4.01551
27,1a30_452,-12.79144
28,1a30_490,-4.33189
29,1a30_498,21.10036
30,1a30_538,-2.88227
31,1a30_559,13.91619
32,1a30_569,41.67898
33,1a30_577,18.96065
34,1a30_6,-39.17901
35,1a30_653,28.08217
36,1a30_664,-8.81234
37,1a30_667,-1.09497
38,1a30_670,27.13305
39,1a30_671,-1.24354
40,1a30_704,-27.57603
41,1a30_705,-26.74327
42,1a30_706,-22.08695
43,1a30_709,-23.67432
44,1a30_712,-22.90515
45,1a30_718,-19.11243
46,1a30_731,-32.02205
47,1a30_733,-22.42697
48,1a30_736,-30.89572
49,1a30_743,-27.22246
50,1a30_744,-18.53173
51,1a30_747,-21.99217
52,1a30_75,-41.22903
53,1a30_754,-18.81350
54,1a30_759,-13.27459
55,1a30_797,-14.64346
56,1a30_828,-26.12121
57,1a30_86,-36.66984
58,1a30_868,-21.81035
59,1a30_87,-29.95216
60,1a30_883,-10.67908
61,1a30_899,5.14138
62,1a30_90,-32.23985
63,1a30_920,-29.98375
64,1a30_935,-19.26640
65,1a30_938,-28.54156
66,1a30_940,-10.00054
67,1a30_942,-8.27307
68,1a30_944,-37.95414
69,1a30_955,-27.39730
70,1a30_972,-25.09549
71,1a30_985,-5.84657
72,1a30_992,-39.55937
73,1a30_997,-20.62494
74,1a30_999,-33.07826
