Lig_ID,Lig_name,score
1,1a30_128,12.61755
2,1a30_130,-44.12048
3,1a30_139,-32.81018
4,1a30_140,-36.48226
5,1a30_144,-38.13453
6,1a30_167,-22.21176
7,1a30_170,-39.79950
8,1a30_186,-32.63416
9,1a30_187,-27.39411
10,1a30_22,-23.34004
11,1a30_221,-21.52100
12,1a30_222,-18.24223
13,1a30_267,1.01331
14,1a30_270,-29.55586
15,1a30_284,6.43778
16,1a30_296,19.09574
17,1a30_314,-35.31167
18,1a30_319,-27.09013
19,1a30_336,-12.17739
20,1a30_348,-16.67044
21,1a30_35,-44.00533
22,1a30_353,-7.47140
23,1a30_388,-41.72592
24,1a30_407,-8.58597
25,1a30_418,-1.46444
26,1a30_450,-2.80669
27,1a30_452,-11.29239
28,1a30_490,-4.42674
29,1a30_498,22.49620
30,1a30_538,-2.09686
31,1a30_559,12.00407
32,1a30_569,43.49104
33,1a30_577,20.06950
34,1a30_6,-39.16174
35,1a30_653,30.64586
36,1a30_664,-9.08447
37,1a30_667,1.31443
38,1a30_670,28.40506
39,1a30_671,-0.85702
40,1a30_704,-27.64688
41,1a30_705,-26.71210
42,1a30_706,-22.12922
43,1a30_709,-23.31338
44,1a30_712,-22.61490
45,1a30_718,-18.89032
46,1a30_731,-32.54544
47,1a30_733,-22.07764
48,1a30_736,-30.67703
49,1a30_743,-27.17974
50,1a30_744,-18.23701
51,1a30_747,-22.00356
52,1a30_75,-40.65240
53,1a30_754,-18.56609
54,1a30_759,-11.21423
55,1a30_797,-14.05796
56,1a30_828,-25.28486
57,1a30_86,-38.09153
58,1a30_868,-21.00396
59,1a30_87,-29.10482
60,1a30_883,-9.96354
61,1a30_899,8.01571
62,1a30_90,-33.46377
63,1a30_920,-30.39629
64,1a30_935,-19.36109
65,1a30_938,-28.45023
66,1a30_940,-9.95775
67,1a30_942,-5.93201
68,1a30_944,-36.69174
69,1a30_955,-27.26783
70,1a30_972,-24.58232
71,1a30_985,-4.70774
72,1a30_992,-38.98925
73,1a30_997,-20.65236
74,1a30_999,-33.94488
