Lig_ID,Lig_name,score
1,1a30_128,24.40490
2,1a30_130,-36.43569
3,1a30_139,-24.79374
4,1a30_140,-27.76544
5,1a30_144,-28.31374
6,1a30_167,-12.20589
7,1a30_170,-29.40494
8,1a30_186,-27.22478
9,1a30_187,-19.25885
10,1a30_22,-13.11349
11,1a30_221,-12.00474
12,1a30_222,-7.76170
13,1a30_267,15.08562
14,1a30_270,-20.36638
15,1a30_284,19.61634
16,1a30_296,32.75780
17,1a30_314,-28.27586
18,1a30_319,-18.90638
19,1a30_336,-1.21775
20,1a30_348,-7.88220
21,1a30_35,-33.42112
22,1a30_353,3.99372
23,1a30_388,-32.18974
24,1a30_407,-0.63323
25,1a30_418,10.04238
26,1a30_450,8.41358
27,1a30_452,-2.14927
28,1a30_490,6.95713
29,1a30_498,36.20365
30,1a30_538,7.22042
31,1a30_559,25.52005
32,1a30_569,56.95581
33,1a30_577,31.87733
34,1a30_6,-31.28248
35,1a30_653,42.66770
36,1a30_664,0.94094
37,1a30_667,12.16045
38,1a30_670,40.69970
39,1a30_671,9.15190
40,1a30_704,-19.46769
41,1a30_705,-16.64637
42,1a30_706,-11.90501
43,1a30_709,-15.16049
44,1a30_712,-14.50873
45,1a30_718,-7.61162
46,1a30_731,-25.06370
47,1a30_733,-11.74787
48,1a30_736,-20.06538
49,1a30_743,-18.83608
50,1a30_744,-8.13802
51,1a30_747,-14.41805
52,1a30_75,-30.84391
53,1a30_754,-7.95981
54,1a30_759,-2.64605
55,1a30_797,-5.50484
56,1a30_828,-16.37568
57,1a30_86,-28.17381
58,1a30_868,-11.12774
59,1a30_87,-21.66150
60,1a30_883,-0.18406
61,1a30_899,21.32216
62,1a30_90,-22.09484
63,1a30_920,-21.17361
64,1a30_935,-12.02712
65,1a30_938,-21.45086
66,1a30_940,0.19390
67,1a30_942,5.81140
68,1a30_944,-28.10091
69,1a30_955,-18.26848
70,1a30_972,-17.42839
71,1a30_985,3.44282
72,1a30_992,-31.03346
73,1a30_997,-12.28685
74,1a30_999,-23.39113
