Lig_ID,Lig_name,score
1,1a30_128,-40.33080
2,1a30_130,-88.56273
3,1a30_139,-84.23709
4,1a30_140,-82.12657
5,1a30_144,-88.68386
6,1a30_167,-59.18964
7,1a30_170,-79.04697
8,1a30_186,-63.07118
9,1a30_187,-64.45011
10,1a30_22,-52.02336
11,1a30_221,-53.58472
12,1a30_222,-53.61710
13,1a30_267,-48.59494
14,1a30_270,-63.43493
15,1a30_284,-30.95450
16,1a30_296,-31.53093
17,1a30_314,-74.41313
18,1a30_319,-68.19209
19,1a30_336,-57.58737
20,1a30_348,-60.62291
21,1a30_35,-77.01098
22,1a30_353,-49.07283
23,1a30_388,-71.71235
24,1a30_407,-49.24490
25,1a30_418,-32.53110
26,1a30_450,-41.33624
27,1a30_452,-46.70013
28,1a30_490,-36.68647
29,1a30_498,-20.40391
30,1a30_538,-27.49594
31,1a30_559,-27.29533
32,1a30_569,11.77239
33,1a30_577,-18.87766
34,1a30_6,-72.91639
35,1a30_653,-2.52679
36,1a30_664,-32.27530
37,1a30_667,-33.17523
38,1a30_670,10.13061
39,1a30_671,-15.21328
40,1a30_704,-76.59987
41,1a30_705,-76.17067
42,1a30_706,-72.69750
43,1a30_709,-72.92801
44,1a30_712,-71.45009
45,1a30_718,-78.58557
46,1a30_731,-77.64250
47,1a30_733,-52.93420
48,1a30_736,-59.97084
49,1a30_743,-77.29181
50,1a30_744,-53.89034
51,1a30_747,-66.93041
52,1a30_75,-85.30042
53,1a30_754,-55.41578
54,1a30_759,-48.44938
55,1a30_797,-46.31992
56,1a30_828,-73.72887
57,1a30_86,-85.11219
58,1a30_868,-49.11142
59,1a30_87,-69.72280
60,1a30_883,-66.71885
61,1a30_899,-53.60706
62,1a30_90,-73.56274
63,1a30_920,-71.04981
64,1a30_935,-58.66399
65,1a30_938,-66.48554
66,1a30_940,-46.62369
67,1a30_942,-50.35719
68,1a30_944,-67.00080
69,1a30_955,-63.61413
70,1a30_972,-63.67459
71,1a30_985,-51.44961
72,1a30_992,-72.75121
73,1a30_997,-51.22476
74,1a30_999,-63.88614
