Lig_ID,Lig_name,score
1,1a30_128,-40.82143
2,1a30_130,-89.04656
3,1a30_139,-84.49349
4,1a30_140,-82.64825
5,1a30_144,-89.45692
6,1a30_167,-59.60469
7,1a30_170,-79.74730
8,1a30_186,-62.76720
9,1a30_187,-64.68178
10,1a30_22,-51.82187
11,1a30_221,-54.10438
12,1a30_222,-52.92510
13,1a30_267,-48.68865
14,1a30_270,-63.19030
15,1a30_284,-30.55584
16,1a30_296,-31.03557
17,1a30_314,-74.50619
18,1a30_319,-68.72005
19,1a30_336,-57.94882
20,1a30_348,-61.45967
21,1a30_35,-77.11652
22,1a30_353,-49.34816
23,1a30_388,-72.45032
24,1a30_407,-49.42876
25,1a30_418,-32.13046
26,1a30_450,-41.54968
27,1a30_452,-47.46972
28,1a30_490,-36.85724
29,1a30_498,-20.47404
30,1a30_538,-27.88166
31,1a30_559,-27.10653
32,1a30_569,12.54187
33,1a30_577,-18.77392
34,1a30_6,-72.44062
35,1a30_653,-2.07716
36,1a30_664,-32.12969
37,1a30_667,-32.96639
38,1a30_670,9.30419
39,1a30_671,-15.20449
40,1a30_704,-77.22747
41,1a30_705,-76.72246
42,1a30_706,-73.09882
43,1a30_709,-73.40524
44,1a30_712,-71.87770
45,1a30_718,-79.22725
46,1a30_731,-78.35121
47,1a30_733,-52.70535
48,1a30_736,-59.54141
49,1a30_743,-78.04731
50,1a30_744,-54.10241
51,1a30_747,-66.96429
52,1a30_75,-84.91844
53,1a30_754,-55.79781
54,1a30_759,-48.21037
55,1a30_797,-46.37327
56,1a30_828,-73.67929
57,1a30_86,-86.27266
58,1a30_868,-48.68972
59,1a30_87,-69.53335
60,1a30_883,-66.97606
61,1a30_899,-53.91743
62,1a30_90,-73.81963
63,1a30_920,-71.52636
64,1a30_935,-58.55153
65,1a30_938,-67.01438
66,1a30_940,-46.34629
67,1a30_942,-49.75368
68,1a30_944,-67.58164
69,1a30_955,-64.01905
70,1a30_972,-63.74321
71,1a30_985,-51.90229
72,1a30_992,-73.13601
73,1a30_997,-51.41554
74,1a30_999,-64.02414
