Lig_ID,Lig_name,score
1,1a30_128,-34.33746
2,1a30_130,-85.96679
3,1a30_139,-81.85542
4,1a30_140,-78.55728
5,1a30_144,-84.57275
6,1a30_167,-53.46066
7,1a30_170,-72.92356
8,1a30_186,-60.80708
9,1a30_187,-60.25804
10,1a30_22,-44.90066
11,1a30_221,-47.52804
12,1a30_222,-46.64495
13,1a30_267,-40.26639
14,1a30_270,-57.99314
15,1a30_284,-21.80329
16,1a30_296,-23.33013
17,1a30_314,-71.62718
18,1a30_319,-64.67438
19,1a30_336,-51.68891
20,1a30_348,-56.72991
21,1a30_35,-70.16173
22,1a30_353,-42.35399
23,1a30_388,-65.64604
24,1a30_407,-45.66928
25,1a30_418,-24.63912
26,1a30_450,-34.32372
27,1a30_452,-41.62379
28,1a30_490,-28.79611
29,1a30_498,-11.58647
30,1a30_538,-20.97325
31,1a30_559,-18.39730
32,1a30_569,21.81085
33,1a30_577,-11.49723
34,1a30_6,-68.82067
35,1a30_653,6.05018
36,1a30_664,-24.89573
37,1a30_667,-26.20384
38,1a30_670,20.40952
39,1a30_671,-6.54260
40,1a30_704,-74.06200
41,1a30_705,-71.71178
42,1a30_706,-68.09483
43,1a30_709,-70.33803
44,1a30_712,-68.79696
45,1a30_718,-74.11797
46,1a30_731,-75.29685
47,1a30_733,-45.92983
48,1a30_736,-52.35448
49,1a30_743,-74.54389
50,1a30_744,-47.76540
51,1a30_747,-64.17666
52,1a30_75,-80.42387
53,1a30_754,-48.82194
54,1a30_759,-43.92747
55,1a30_797,-41.29598
56,1a30_828,-70.22386
57,1a30_86,-80.77581
58,1a30_868,-42.22472
59,1a30_87,-66.74425
60,1a30_883,-63.28616
61,1a30_899,-47.26459
62,1a30_90,-66.85820
63,1a30_920,-66.53834
64,1a30_935,-55.47781
65,1a30_938,-63.58076
66,1a30_940,-40.31285
67,1a30_942,-43.49004
68,1a30_944,-61.76541
69,1a30_955,-58.57260
70,1a30_972,-60.71390
71,1a30_985,-48.41612
72,1a30_992,-68.13783
73,1a30_997,-46.15571
74,1a30_999,-56.73170
