Lig_ID,Lig_name,score
1,1a30_128,-34.97175
2,1a30_130,-86.35355
3,1a30_139,-82.21965
4,1a30_140,-79.06099
5,1a30_144,-85.33861
6,1a30_167,-53.75358
7,1a30_170,-73.79139
8,1a30_186,-60.70593
9,1a30_187,-60.68960
10,1a30_22,-44.75997
11,1a30_221,-48.20850
12,1a30_222,-46.29822
13,1a30_267,-40.13878
14,1a30_270,-57.73798
15,1a30_284,-21.48768
16,1a30_296,-22.94367
17,1a30_314,-71.82533
18,1a30_319,-65.16185
19,1a30_336,-52.07489
20,1a30_348,-57.64801
21,1a30_35,-70.21132
22,1a30_353,-42.53601
23,1a30_388,-66.32797
24,1a30_407,-46.01411
25,1a30_418,-24.03098
26,1a30_450,-34.63419
27,1a30_452,-42.34630
28,1a30_490,-29.07676
29,1a30_498,-11.54106
30,1a30_538,-21.42937
31,1a30_559,-17.93618
32,1a30_569,22.56784
33,1a30_577,-11.28202
34,1a30_6,-68.25901
35,1a30_653,6.30879
36,1a30_664,-24.66486
37,1a30_667,-25.92934
38,1a30_670,19.47651
39,1a30_671,-6.78973
40,1a30_704,-74.55724
41,1a30_705,-72.21343
42,1a30_706,-68.53790
43,1a30_709,-70.81811
44,1a30_712,-69.24517
45,1a30_718,-74.65265
46,1a30_731,-75.95900
47,1a30_733,-45.77866
48,1a30_736,-52.13692
49,1a30_743,-75.35560
50,1a30_744,-47.98846
51,1a30_747,-64.37442
52,1a30_75,-80.02840
53,1a30_754,-49.32839
54,1a30_759,-43.75288
55,1a30_797,-41.41073
56,1a30_828,-70.14726
57,1a30_86,-81.70840
58,1a30_868,-41.88970
59,1a30_87,-66.58209
60,1a30_883,-63.53130
61,1a30_899,-47.49245
62,1a30_90,-66.93468
63,1a30_920,-66.87369
64,1a30_935,-55.57205
65,1a30_938,-64.29991
66,1a30_940,-40.23782
67,1a30_942,-42.87934
68,1a30_944,-62.42302
69,1a30_955,-59.10317
70,1a30_972,-60.94049
71,1a30_985,-48.99557
72,1a30_992,-68.97430
73,1a30_997,-46.46816
74,1a30_999,-56.81252
