Lig_ID,Lig_name,score
1,1a30_128,-62.60549
2,1a30_130,-136.00415
3,1a30_139,-94.36161
4,1a30_140,-119.29355
5,1a30_144,-128.12010
6,1a30_167,-111.39537
7,1a30_170,-129.91420
8,1a30_186,-67.21560
9,1a30_187,-69.55678
10,1a30_22,-72.07371
11,1a30_221,-86.89404
12,1a30_222,-66.83644
13,1a30_267,-54.13101
14,1a30_270,-98.81597
15,1a30_284,-35.08599
16,1a30_296,-20.54148
17,1a30_314,-113.76123
18,1a30_319,-126.70518
19,1a30_336,-97.81445
20,1a30_348,-104.50736
21,1a30_35,-108.25722
22,1a30_353,-86.52731
23,1a30_388,-99.77856
24,1a30_407,-25.37719
25,1a30_418,-46.84571
26,1a30_450,-53.90450
27,1a30_452,-53.19235
28,1a30_490,-78.31431
29,1a30_498,-19.28706
30,1a30_538,-55.76944
31,1a30_559,-58.48082
32,1a30_569,13.13476
33,1a30_577,-1.51255
34,1a30_6,-133.51889
35,1a30_653,3.11228
36,1a30_664,-25.51791
37,1a30_667,-29.61410
38,1a30_670,-4.91023
39,1a30_671,-18.89739
40,1a30_704,-111.24757
41,1a30_705,-103.78497
42,1a30_706,-94.71430
43,1a30_709,-105.24698
44,1a30_712,-101.99908
45,1a30_718,-91.24620
46,1a30_731,-120.24672
47,1a30_733,-68.01110
48,1a30_736,-77.54141
49,1a30_743,-109.01580
50,1a30_744,-68.09456
51,1a30_747,-118.13578
52,1a30_75,-118.40545
53,1a30_754,-71.83566
54,1a30_759,-52.82909
55,1a30_797,-71.40499
56,1a30_828,-68.59450
57,1a30_86,-102.32616
58,1a30_868,-46.68856
59,1a30_87,-112.70874
60,1a30_883,-66.96919
61,1a30_899,-51.59833
62,1a30_90,-113.67041
63,1a30_920,-124.66925
64,1a30_935,-103.67270
65,1a30_938,-112.38554
66,1a30_940,-79.76042
67,1a30_942,-84.28377
68,1a30_944,-110.11703
69,1a30_955,-109.69040
70,1a30_972,-104.36159
71,1a30_985,-71.56841
72,1a30_992,-93.73075
73,1a30_997,-90.92456
74,1a30_999,-97.41062
