Lig_ID,Lig_name,score
1,1a30_128,-41.56827
2,1a30_130,-93.36514
3,1a30_139,-66.89517
4,1a30_140,-80.80835
5,1a30_144,-85.13392
6,1a30_167,-74.53861
7,1a30_170,-84.31819
8,1a30_186,-50.72678
9,1a30_187,-53.01079
10,1a30_22,-50.10031
11,1a30_221,-55.46360
12,1a30_222,-52.95033
13,1a30_267,-37.45485
14,1a30_270,-70.76417
15,1a30_284,-14.47156
16,1a30_296,-11.02465
17,1a30_314,-78.20976
18,1a30_319,-85.42458
19,1a30_336,-66.78535
20,1a30_348,-73.00219
21,1a30_35,-72.06535
22,1a30_353,-58.20501
23,1a30_388,-71.51643
24,1a30_407,-7.49158
25,1a30_418,-26.43710
26,1a30_450,-20.17799
27,1a30_452,-29.24628
28,1a30_490,-32.29679
29,1a30_498,-1.11933
30,1a30_538,-15.51476
31,1a30_559,-26.17740
32,1a30_569,31.84992
33,1a30_577,7.07620
34,1a30_6,-84.05905
35,1a30_653,18.39291
36,1a30_664,-22.45600
37,1a30_667,-11.97911
38,1a30_670,17.85896
39,1a30_671,8.87942
40,1a30_704,-77.31621
41,1a30_705,-74.92063
42,1a30_706,-69.12214
43,1a30_709,-73.19173
44,1a30_712,-71.73577
45,1a30_718,-64.54519
46,1a30_731,-82.81745
47,1a30_733,-52.74459
48,1a30_736,-61.78144
49,1a30_743,-76.04203
50,1a30_744,-51.77321
51,1a30_747,-80.07196
52,1a30_75,-88.21954
53,1a30_754,-51.06305
54,1a30_759,-42.48378
55,1a30_797,-47.19479
56,1a30_828,-56.23173
57,1a30_86,-72.34816
58,1a30_868,-37.48165
59,1a30_87,-73.96514
60,1a30_883,-50.51841
61,1a30_899,-36.11393
62,1a30_90,-73.74437
63,1a30_920,-80.95645
64,1a30_935,-64.87643
65,1a30_938,-77.12071
66,1a30_940,-52.94707
67,1a30_942,-55.98822
68,1a30_944,-75.39352
69,1a30_955,-71.80695
70,1a30_972,-69.58551
71,1a30_985,-50.72722
72,1a30_992,-70.01818
73,1a30_997,-59.64900
74,1a30_999,-63.68785
