Lig_ID,Lig_name,score
1,1a30_128,-56.18607
2,1a30_130,-133.96266
3,1a30_139,-92.27090
4,1a30_140,-117.21387
5,1a30_144,-126.14381
6,1a30_167,-107.75595
7,1a30_170,-128.58316
8,1a30_186,-66.21372
9,1a30_187,-67.09879
10,1a30_22,-69.92893
11,1a30_221,-85.17570
12,1a30_222,-62.36465
13,1a30_267,-49.00754
14,1a30_270,-95.62369
15,1a30_284,-33.16120
16,1a30_296,-15.64639
17,1a30_314,-111.70660
18,1a30_319,-123.09981
19,1a30_336,-92.88038
20,1a30_348,-99.70525
21,1a30_35,-107.90688
22,1a30_353,-81.68782
23,1a30_388,-98.19791
24,1a30_407,-26.95252
25,1a30_418,-44.54988
26,1a30_450,-54.63807
27,1a30_452,-52.74222
28,1a30_490,-79.28053
29,1a30_498,-16.55060
30,1a30_538,-58.27223
31,1a30_559,-55.71024
32,1a30_569,14.04772
33,1a30_577,0.80350
34,1a30_6,-133.04507
35,1a30_653,4.39716
36,1a30_664,-22.61291
37,1a30_667,-28.68487
38,1a30_670,-4.90001
39,1a30_671,-22.82658
40,1a30_704,-107.83083
41,1a30_705,-99.58355
42,1a30_706,-90.19645
43,1a30_709,-101.53612
44,1a30_712,-98.14712
45,1a30_718,-86.92726
46,1a30_731,-117.34323
47,1a30_733,-64.33536
48,1a30_736,-73.83340
49,1a30_743,-105.55406
50,1a30_744,-64.19258
51,1a30_747,-114.19434
52,1a30_75,-114.52121
53,1a30_754,-68.64556
54,1a30_759,-48.61589
55,1a30_797,-68.90788
56,1a30_828,-64.66689
57,1a30_86,-100.29811
58,1a30_868,-44.23899
59,1a30_87,-110.77160
60,1a30_883,-62.12868
61,1a30_899,-45.60524
62,1a30_90,-111.99562
63,1a30_920,-122.37353
64,1a30_935,-101.66512
65,1a30_938,-109.47054
66,1a30_940,-75.99933
67,1a30_942,-79.49747
68,1a30_944,-108.32144
69,1a30_955,-107.45397
70,1a30_972,-101.87858
71,1a30_985,-66.80715
72,1a30_992,-91.54901
73,1a30_997,-88.62648
74,1a30_999,-96.47149
